Name,Age,GPA,Credits_Completed,Year,Pathway
Ben White,18,4.34,6,Senior,Construction
Ian Johnson,18,2.82,5,Senior,Culinary
Marie Miller,14,2.38,57,Sophmore,Early Childhood Education
Hayden Scott,18,1.53,30,Junior,Engineering
Alex Anderson,18,0.92,50,Freshman,Engineering
Tom Scott,14,0.36,9,Senior,Construction
Isabelle Jones,18,0.88,38,Freshman,Early College
Daniel Anderson,19,2.42,12,Senior,Construction
Ian Miller,16,3.1,38,Sophmore,Culinary
Alex German,16,2.97,26,Junior,Marketing
Isabelle Fraker,17,2.11,60,Senior,Marketing
Rachel Jones,16,1.61,57,Senior,Bio Med
Marie Moore,16,0.44,50,Senior,Business
Marie Fraker,19,2.59,45,Senior,Culinary
Marie German,15,2.57,58,Senior,Marketing
Emma Anderson,17,2.13,28,Freshman,Computer Science
Hayden Scott,19,2.42,57,Senior,Construction
Bob Johnson,15,3.42,53,Super Senior,Engineering
Josh Foster,17,1.74,37,Sophmore,Construction
Daniel German,16,1.24,6,Freshman,Engineering
Isabelle Johnson,19,3.42,33,Sophmore,Business
Lily Foster,14,1.63,29,Freshman,Engineering
Emma German,14,1.83,10,Sophmore,Computer Science
Ben Miller,15,1.99,53,Senior,Early Childhood Education
Marie Moore,18,1.27,3,Senior,Bio Med
Isabelle Williams,18,0.66,3,Senior,Construction
Josh Scott,15,0.93,43,Super Senior,Business
Mac King,17,1.92,1,Freshman,Fine Arts
Mac Scott,19,1.08,58,Junior,Computer Science
Sarah Miller,17,2.15,26,Freshman,Computer Science
Bob Smith,19,0.35,30,Sophmore,Engineering
Ian Scott,16,4.02,54,Senior,Bio Med
Ben Garcia,17,2.15,59,Super Senior,Early College
Ian Moore,16,3.26,7,Senior,Fine Arts
Bob White,19,2.95,28,Senior,Bio Med
Bob Jones,18,0.77,43,Junior,Early Childhood Education
Rachel Williams,15,0.7,12,Super Senior,Bio Med
Sarah Anderson,15,2.2,58,Junior,Computer Science
Emma Moore,15,2.05,49,Freshman,Construction
Ben Johnson,16,1.72,29,Freshman,Business
Joe Moore,18,3.57,25,Freshman,Fine Arts
Rachel Moore,14,2.16,15,Sophmore,Marketing
Joe Anderson,19,2.04,7,Junior,Construction
Ben Smith,17,4.38,51,Junior,Fine Arts
Josh Anderson,14,3.18,5,Freshman,Bio Med
Isabelle Anderson,15,0.73,4,Senior,Construction
Ben King,19,3.64,29,Freshman,Marketing
Ian Williams,17,4.2,10,Sophmore,Engineering
Ben German,17,0.53,59,Junior,Early College
Alex White,19,3.39,21,Super Senior,Business
Ben White,17,1.64,32,Sophmore,Construction
Joe King,19,2.2,16,Freshman,Marketing
Hayden Fraker,19,1.97,28,Super Senior,Bio Med
Sarah Johnson,18,3.65,47,Junior,Construction
Ben Johnson,16,1.5,52,Super Senior,Early Childhood Education
Lily Garcia,14,0.81,53,Sophmore,Engineering
Rachel Johnson,17,3.63,26,Senior,Bio Med
Rachel White,18,3.35,27,Super Senior,Early Childhood Education
Hayden German,18,3.81,60,Super Senior,Engineering
Bob Moore,15,2.68,26,Senior,Construction
Emma White,15,0.57,4,Junior,Engineering
Isabelle King,18,1.5,29,Senior,Construction
Daniel Garcia,15,0.4,15,Sophmore,Marketing
Marie Davis,19,0.69,25,Sophmore,Engineering
Emma Scott,18,1.76,8,Super Senior,Early Childhood Education
Isabelle Fraker,15,2.6,10,Junior,Fine Arts
Ben Moore,16,4.33,25,Sophmore,Bio Med
Daniel Williams,19,2.18,23,Freshman,Computer Science
Marie Scott,14,4.23,25,Freshman,Marketing
Bob Williams,14,1.13,22,Junior,Construction
Isabelle German,17,3.97,22,Junior,Bio Med
Sarah Scott,19,1.87,26,Super Senior,Early Childhood Education
Rachel King,15,2.64,2,Super Senior,Culinary
Ben Foster,16,4.27,44,Freshman,Bio Med
Ian Smith,15,4.34,45,Freshman,Business
Daniel Davis,16,0.33,50,Freshman,Fine Arts
Alex Garcia,18,1.64,10,Sophmore,Fine Arts
Emma Garcia,18,1.98,16,Junior,Construction
Alex Davis,14,2.88,56,Senior,Early College
Sophie Anderson,14,1.98,59,Super Senior,Business
Alex Williams,15,0.84,43,Super Senior,Fine Arts
Alex Brown,18,0.78,54,Sophmore,Engineering
Isabelle Jones,14,2.8,44,Senior,Computer Science
Alex Williams,14,2.33,53,Junior,Computer Science
Tom Garcia,19,3.61,50,Senior,Construction
Emma Smith,16,2.39,4,Junior,Computer Science
Hayden Jones,18,3.96,45,Junior,Early Childhood Education
Alex Foster,18,1.34,8,Senior,Early College
Bob Williams,15,1.97,48,Junior,Computer Science
Sophie Moore,18,3.09,44,Senior,Culinary
Josh Miller,16,2.35,20,Junior,Business
Alex Brown,18,3.25,19,Junior,Business
Alex Brown,18,1.78,37,Junior,Culinary
Sarah Fraker,19,2.77,47,Sophmore,Engineering
Sarah Garcia,17,1.45,24,Super Senior,Bio Med
Lily Garcia,14,0.94,9,Sophmore,Business
Daniel Williams,16,3.32,30,Junior,Computer Science
Isabelle White,19,1.2,46,Freshman,Bio Med
Sophie Fraker,15,3.14,28,Senior,Early Childhood Education
Mac Smith,17,1.12,25,Freshman,Computer Science
Tom Smith,17,2.92,43,Junior,Early College
Daniel White,15,2.79,60,Senior,Culinary
Isabelle Williams,15,2.27,51,Freshman,Fine Arts
Bob Fraker,18,1.19,29,Freshman,Business
Tom King,14,3.23,18,Freshman,Construction
Lily Williams,16,2.88,31,Senior,Bio Med
Joe Foster,17,1.2,59,Super Senior,Business
Joe Johnson,19,3.36,45,Senior,Business
Mac Davis,15,2.55,17,Junior,Culinary
Ben King,17,3.36,2,Freshman,Computer Science
Hayden Davis,17,0.36,3,Junior,Early Childhood Education
Rachel Davis,17,4.2,40,Junior,Engineering
Lily Williams,17,4.43,8,Freshman,Marketing
Lily Garcia,15,3.93,52,Super Senior,Early Childhood Education
Marie Jones,16,1.06,5,Sophmore,Engineering
Rachel Davis,15,2.6,60,Junior,Business
Joe Davis,18,1.29,2,Super Senior,Early Childhood Education
Hayden Johnson,16,2.44,37,Freshman,Bio Med
Tom King,14,4.5,38,Super Senior,Culinary
Daniel Miller,19,3.82,28,Freshman,Culinary
Sarah Fraker,18,3.6,11,Senior,Computer Science
Ian Anderson,17,4.21,33,Senior,Engineering
Emma King,14,3.41,19,Junior,Construction
Sophie Moore,19,2.77,38,Freshman,Business
Mac Moore,17,4.01,23,Senior,Engineering
Lily Garcia,19,3.19,58,Super Senior,Business
Hayden Fraker,15,3.64,3,Super Senior,Fine Arts
Lily Anderson,17,3.42,55,Super Senior,Fine Arts
Lily Miller,14,1.48,45,Senior,Marketing
Bob Williams,19,1.65,18,Super Senior,Computer Science
Hayden Smith,19,0.63,33,Sophmore,Computer Science
Daniel Scott,14,2.27,22,Senior,Business
Daniel Miller,18,3.81,7,Junior,Culinary
Ian White,18,3.37,60,Freshman,Construction
Sarah Williams,19,1.63,26,Freshman,Business
Isabelle Jones,15,1.49,35,Sophmore,Business
Ian Moore,16,1.35,33,Super Senior,Engineering
Marie Garcia,14,2.28,28,Super Senior,Business
Josh White,19,1.46,0,Senior,Engineering
Sarah Foster,14,0.83,57,Super Senior,Fine Arts
Josh Smith,16,3.75,39,Super Senior,Fine Arts
Sophie Johnson,19,0.97,27,Sophmore,Construction
Ian Johnson,18,1.9,45,Freshman,Marketing
Sarah Miller,17,0.49,41,Freshman,Computer Science
Joe Davis,16,2.03,49,Senior,Computer Science
Tom Brown,14,2.54,26,Junior,Early Childhood Education
Daniel Fraker,17,4.04,57,Sophmore,Early Childhood Education
Marie Garcia,18,1.45,14,Freshman,Early Childhood Education
Josh Moore,19,3.14,12,Super Senior,Fine Arts
Bob Miller,14,3.94,21,Super Senior,Early Childhood Education
Sophie Anderson,14,0.44,45,Senior,Business
Tom Williams,18,3.25,2,Sophmore,Engineering
Josh Garcia,14,3.38,36,Super Senior,Bio Med
Joe White,14,1.07,46,Sophmore,Early Childhood Education
Ben Scott,18,3.73,42,Junior,Early Childhood Education
Josh Moore,14,0.37,12,Senior,Business
Lily Johnson,19,1.03,18,Freshman,Bio Med
Josh Davis,16,0.47,56,Super Senior,Bio Med
Rachel Moore,14,1.41,18,Super Senior,Early College
Joe White,16,4.39,53,Junior,Marketing
Ian White,17,2.3,40,Senior,Marketing
Josh Foster,16,2.39,25,Super Senior,Engineering
Sophie Foster,19,2.33,23,Junior,Business
Sarah King,15,4.43,46,Super Senior,Computer Science
Josh Anderson,19,3.97,34,Super Senior,Computer Science
Josh Smith,15,2.22,50,Super Senior,Construction
Ben Garcia,15,4.04,43,Super Senior,Early College
Sophie Johnson,19,2.18,0,Super Senior,Marketing
Isabelle Anderson,16,2.35,52,Senior,Early College
Joe Anderson,19,2.39,52,Sophmore,Marketing
Daniel Foster,14,1.23,24,Freshman,Marketing
Joe Brown,18,4.32,17,Senior,Computer Science
Mac Scott,19,2.39,0,Junior,Early Childhood Education
Sarah German,15,2.72,18,Super Senior,Construction
Mac Johnson,19,0.31,41,Senior,Early College
Josh German,15,0.77,4,Freshman,Culinary
Joe German,15,2.01,6,Sophmore,Engineering
Lily Johnson,16,3.85,5,Sophmore,Computer Science
Josh Jones,16,2.16,7,Super Senior,Culinary
Rachel Brown,16,2.79,10,Super Senior,Business
Lily Moore,19,3.02,11,Senior,Bio Med
Rachel Miller,16,1.59,57,Sophmore,Business
Lily Scott,18,2.41,17,Junior,Bio Med
Isabelle Smith,17,3.64,20,Senior,Culinary
Josh Moore,14,1.34,38,Junior,Early Childhood Education
Bob Smith,14,3.85,59,Freshman,Early College
Tom Scott,19,2.68,7,Freshman,Early College
Sarah Smith,17,1.09,58,Sophmore,Construction
Rachel White,14,1.44,14,Super Senior,Engineering
Joe King,16,0.92,34,Freshman,Engineering
Sarah Garcia,17,2.5,8,Freshman,Construction
Mac Smith,18,3.95,36,Junior,Culinary
Joe Garcia,15,3.31,6,Sophmore,Business
Josh Garcia,19,0.56,57,Sophmore,Culinary
Bob Miller,16,1.83,39,Senior,Marketing
Isabelle Miller,17,3.31,49,Junior,Computer Science
Marie Foster,15,3.51,0,Sophmore,Construction
Isabelle Scott,15,0.68,45,Junior,Engineering
Marie King,18,0.74,53,Freshman,Early College
Alex Foster,19,1.4,22,Super Senior,Construction
Hayden White,18,4.18,53,Freshman,Bio Med
Emma White,15,2.89,39,Sophmore,Early Childhood Education
Sarah German,17,3.75,38,Junior,Business
Emma German,16,2.72,7,Senior,Early College
Alex Johnson,19,0.81,39,Super Senior,Construction
Ben Scott,17,2.74,38,Senior,Early Childhood Education
Tom Anderson,18,3.34,13,Senior,Marketing
Daniel Miller,14,0.39,41,Freshman,Culinary
Isabelle Brown,16,2.77,54,Senior,Culinary
Daniel White,14,1.01,13,Freshman,Business
Daniel Scott,16,2.85,15,Freshman,Engineering
Sarah Scott,17,3.87,23,Super Senior,Construction
Josh Fraker,19,3.47,39,Junior,Fine Arts
Isabelle Davis,19,0.99,25,Senior,Construction
Alex Brown,16,2.04,19,Super Senior,Construction
Emma German,16,1.23,37,Junior,Early Childhood Education
Mac Brown,14,3.03,9,Super Senior,Culinary
Ben Fraker,19,1.33,11,Junior,Engineering
Ben Foster,19,2.76,7,Sophmore,Engineering
Hayden Davis,16,3.3,43,Senior,Early Childhood Education
Ian Moore,18,0.71,23,Junior,Early Childhood Education
Tom Scott,18,1.89,34,Senior,Engineering
Bob Smith,16,0.71,7,Sophmore,Early College
Ben Smith,18,2.4,27,Freshman,Construction
Isabelle Miller,17,0.54,9,Senior,Computer Science
Josh Miller,15,0.79,41,Super Senior,Engineering
Emma King,14,1.62,38,Junior,Early Childhood Education
Rachel Garcia,17,2.29,30,Junior,Early Childhood Education
Isabelle Scott,14,0.39,34,Freshman,Business
Ben Scott,16,3.91,47,Freshman,Computer Science
Lily Jones,19,3.35,51,Super Senior,Fine Arts
Marie King,19,4.02,36,Freshman,Fine Arts
Joe Fraker,18,4.01,25,Sophmore,Computer Science
Marie Miller,14,0.48,9,Sophmore,Marketing
Ben Smith,18,1.47,45,Super Senior,Marketing
Isabelle Miller,18,1.17,44,Sophmore,Bio Med
Emma White,17,1.1,58,Sophmore,Marketing
Lily Anderson,14,0.87,49,Sophmore,Construction
Josh King,19,2.75,19,Junior,Business
Isabelle German,18,2.79,11,Freshman,Marketing
Bob King,18,2.98,22,Senior,Business
Sarah Garcia,17,3.13,1,Super Senior,Early College
Joe Smith,16,2.94,57,Senior,Bio Med
Isabelle Foster,18,4.09,14,Freshman,Engineering
Bob Brown,17,2.69,24,Super Senior,Bio Med
Emma Garcia,16,4.29,4,Super Senior,Construction
Ben Garcia,18,2.17,38,Sophmore,Bio Med
Marie King,16,1.14,43,Sophmore,Early College
Alex Scott,18,4.08,15,Sophmore,Bio Med
Joe Smith,15,1.06,41,Junior,Early College
Isabelle Scott,16,1.07,38,Junior,Early Childhood Education
Hayden Garcia,14,1.17,11,Super Senior,Bio Med
Emma Moore,16,2.9,6,Super Senior,Engineering
Mac King,18,2.0,34,Sophmore,Marketing
Bob Miller,18,2.94,24,Junior,Bio Med
Alex Moore,15,1.83,33,Super Senior,Culinary
Sophie Fraker,15,4.02,16,Senior,Engineering
Ian Fraker,18,3.66,2,Sophmore,Business
Joe Jones,17,1.66,47,Super Senior,Marketing
Isabelle King,18,3.01,5,Sophmore,Bio Med
Lily Davis,19,1.23,51,Super Senior,Culinary
Ben White,16,2.01,23,Junior,Marketing
Rachel Anderson,15,2.26,6,Freshman,Culinary
Isabelle German,15,2.65,31,Junior,Construction
Bob German,19,3.92,16,Super Senior,Early Childhood Education
Josh Davis,19,3.95,58,Senior,Computer Science
Marie Miller,16,4.14,15,Sophmore,Fine Arts
Tom Jones,19,2.39,50,Sophmore,Business
Lily Anderson,15,2.51,43,Sophmore,Marketing
Rachel Fraker,14,1.46,30,Senior,Construction
Rachel Johnson,18,3.52,37,Junior,Culinary
Hayden Moore,15,0.74,12,Freshman,Construction
Tom Garcia,15,0.49,31,Junior,Engineering
Emma Scott,19,2.52,16,Freshman,Engineering
Joe White,19,2.7,6,Super Senior,Business
Alex Miller,14,4.47,13,Freshman,Bio Med
Sarah Moore,15,2.87,26,Senior,Early College
Joe Miller,16,4.46,37,Sophmore,Early Childhood Education
Alex Garcia,19,1.22,50,Senior,Bio Med
Josh Scott,16,0.32,24,Sophmore,Early College
Lily Smith,15,3.3,20,Sophmore,Early College
Daniel Johnson,17,3.39,54,Freshman,Business
Sophie Johnson,14,1.23,35,Junior,Marketing
Hayden Davis,19,3.94,27,Super Senior,Bio Med
Marie German,18,1.57,19,Senior,Early College
Marie German,19,1.26,23,Super Senior,Culinary
Sophie Moore,18,3.24,38,Freshman,Fine Arts
Josh Miller,16,4.35,38,Sophmore,Engineering
Hayden Fraker,14,2.08,33,Sophmore,Bio Med
Josh Fraker,18,4.01,31,Freshman,Marketing
Isabelle Jones,17,1.37,23,Junior,Engineering
Mac Garcia,18,1.29,50,Senior,Engineering
Ben White,18,1.43,9,Super Senior,Business
Josh Brown,14,3.17,57,Senior,Fine Arts
Isabelle White,14,1.4,28,Junior,Early Childhood Education
Daniel Miller,15,3.33,8,Freshman,Early College
Isabelle White,18,4.0,43,Super Senior,Culinary
Josh King,15,2.94,2,Senior,Construction
Daniel King,16,2.08,6,Senior,Culinary
Ben Miller,19,1.39,44,Senior,Engineering
Lily Garcia,15,3.3,39,Junior,Early College
Marie Miller,17,4.14,46,Freshman,Marketing
Alex Smith,18,1.67,3,Junior,Early College
Tom Brown,18,0.79,8,Super Senior,Fine Arts
Marie Smith,17,0.91,54,Sophmore,Bio Med
Alex Anderson,18,3.68,30,Super Senior,Computer Science
Josh Miller,18,2.69,44,Junior,Business
Mac King,14,1.8,34,Junior,Fine Arts
Sarah Davis,19,2.96,5,Junior,Fine Arts
Emma Fraker,19,2.35,35,Junior,Engineering
Joe Garcia,14,4.49,34,Freshman,Marketing
Bob Johnson,18,1.03,44,Sophmore,Early Childhood Education
Bob Williams,15,1.71,12,Senior,Early College
Rachel White,17,1.49,37,Super Senior,Culinary
Hayden Jones,18,1.18,52,Super Senior,Computer Science
Daniel King,19,3.34,44,Junior,Computer Science
Marie Foster,14,3.26,38,Senior,Marketing
Hayden Davis,15,3.58,43,Sophmore,Engineering
Josh Miller,14,2.38,6,Junior,Culinary
Ben Jones,14,1.4,60,Sophmore,Construction
Ben Johnson,14,2.17,37,Junior,Early Childhood Education
Emma Miller,17,4.43,58,Freshman,Marketing
Isabelle Fraker,15,2.0,40,Junior,Fine Arts
Lily Williams,14,2.62,1,Freshman,Bio Med
Tom Fraker,16,3.7,8,Junior,Early College
Marie Brown,19,2.62,55,Freshman,Fine Arts
Ian Anderson,17,4.02,47,Sophmore,Early College
Emma White,17,4.38,60,Junior,Construction
Marie King,15,4.26,38,Junior,Business
Sophie Brown,19,2.22,47,Senior,Construction
Mac Anderson,15,3.3,60,Senior,Culinary
Lily King,14,4.17,9,Senior,Business
Sophie Anderson,16,2.33,53,Senior,Culinary
Mac Johnson,14,2.94,14,Super Senior,Culinary
Ben Garcia,17,1.0,9,Senior,Fine Arts
Daniel Fraker,14,4.07,28,Super Senior,Culinary
Daniel Anderson,15,0.86,50,Super Senior,Bio Med
Mac Davis,14,4.08,45,Super Senior,Bio Med
Joe Williams,18,2.66,5,Junior,Business
Isabelle Brown,17,3.94,42,Super Senior,Bio Med
Lily Scott,19,1.28,32,Super Senior,Bio Med
Marie Davis,14,3.92,36,Sophmore,Early Childhood Education
Rachel German,14,2.3,47,Senior,Culinary
Marie Garcia,18,4.02,43,Super Senior,Bio Med
Josh German,18,0.36,52,Junior,Computer Science
Emma German,15,1.38,23,Junior,Early Childhood Education
Rachel White,15,3.91,31,Super Senior,Culinary
Emma Brown,17,2.76,15,Sophmore,Engineering
Ian Jones,15,4.43,18,Junior,Business
Ben Miller,15,1.89,16,Sophmore,Business
Rachel Miller,16,1.7,15,Junior,Engineering
Isabelle Jones,17,4.45,40,Super Senior,Business
Bob Brown,17,2.32,29,Senior,Construction
Hayden Jones,17,1.84,56,Freshman,Bio Med
Hayden Brown,18,1.81,8,Sophmore,Construction
Emma Fraker,19,4.36,36,Junior,Early College
Sarah White,17,3.1,17,Sophmore,Engineering
Lily Jones,14,1.29,38,Sophmore,Early Childhood Education
Lily Davis,17,3.16,60,Freshman,Construction
Mac Fraker,14,0.7,34,Junior,Early Childhood Education
Ben White,18,3.09,44,Senior,Computer Science
Mac Johnson,17,4.09,32,Senior,Business
Marie Garcia,18,4.06,58,Junior,Computer Science
Isabelle Fraker,16,3.81,8,Super Senior,Early College
Ben Brown,18,0.35,4,Sophmore,Fine Arts
Sophie Brown,17,0.61,44,Freshman,Culinary
Josh Williams,16,4.35,26,Junior,Early Childhood Education
Bob Jones,16,2.8,53,Junior,Early College
Sarah Garcia,16,0.61,51,Sophmore,Marketing
Mac Williams,17,0.69,49,Sophmore,Early Childhood Education
Ben Anderson,14,3.34,47,Super Senior,Early College
Emma Scott,15,2.63,60,Super Senior,Engineering
Bob Foster,17,1.59,15,Senior,Early Childhood Education
Marie Miller,16,1.19,57,Sophmore,Early Childhood Education
Lily Miller,18,2.64,9,Sophmore,Engineering
Daniel Foster,14,0.83,56,Sophmore,Marketing
Rachel German,16,1.63,34,Sophmore,Early College
Sophie Scott,16,0.95,38,Freshman,Marketing
Josh Anderson,17,2.04,8,Junior,Fine Arts
Alex Garcia,16,0.78,38,Freshman,Engineering
Bob Jones,16,1.67,21,Freshman,Culinary
Emma Brown,16,4.31,21,Super Senior,Early Childhood Education
Bob White,16,0.43,11,Super Senior,Early College
Sophie Smith,17,0.3,59,Senior,Early Childhood Education
Alex Johnson,15,3.64,30,Super Senior,Culinary
Sophie Smith,16,1.24,38,Junior,Culinary
Isabelle Foster,19,3.36,1,Super Senior,Marketing
Sophie Moore,18,3.64,49,Freshman,Culinary
Alex King,15,1.34,24,Junior,Early Childhood Education
Sarah Johnson,16,2.82,38,Junior,Bio Med
Alex Moore,16,3.62,1,Senior,Culinary
Rachel White,18,4.35,12,Junior,Bio Med
Isabelle Jones,18,2.0,59,Sophmore,Fine Arts
Mac Davis,15,1.08,44,Freshman,Engineering
Bob German,19,3.65,51,Senior,Construction
Tom Brown,18,1.69,57,Freshman,Fine Arts
Bob Johnson,17,3.86,11,Sophmore,Marketing
Rachel Foster,14,1.9,34,Super Senior,Marketing
Hayden Williams,15,2.55,41,Senior,Construction
Joe Garcia,16,2.64,56,Super Senior,Early Childhood Education
Josh Fraker,16,1.42,8,Sophmore,Engineering
Josh German,17,3.73,31,Senior,Bio Med
Sophie White,17,2.45,60,Sophmore,Computer Science
Rachel Garcia,18,4.49,21,Junior,Construction
Alex Smith,16,3.23,12,Senior,Early College
Bob Smith,19,3.13,13,Sophmore,Fine Arts
Daniel Smith,18,2.54,2,Freshman,Fine Arts
Emma White,18,3.29,30,Sophmore,Business
Alex White,17,0.41,7,Senior,Business
Sophie Jones,16,3.7,26,Super Senior,Fine Arts
Daniel White,14,3.8,20,Senior,Marketing
Marie King,18,1.28,33,Super Senior,Early Childhood Education
Hayden Johnson,19,3.38,38,Senior,Fine Arts
Rachel Miller,19,2.81,36,Junior,Early College
Isabelle Brown,15,2.09,15,Junior,Construction
Bob Moore,17,3.8,35,Sophmore,Early College
Tom Jones,16,3.17,27,Super Senior,Engineering
Ben King,19,1.74,39,Sophmore,Early Childhood Education
Ian Miller,19,0.54,16,Super Senior,Fine Arts
Isabelle Brown,16,2.0,2,Junior,Early Childhood Education
Daniel Garcia,16,2.7,34,Freshman,Construction
Ian King,16,4.08,33,Super Senior,Early Childhood Education
Hayden Jones,17,2.99,2,Junior,Construction
Daniel Jones,17,2.19,16,Super Senior,Construction
Tom Smith,16,4.25,4,Super Senior,Business
Emma German,16,3.18,17,Junior,Early Childhood Education
Ben German,16,2.79,3,Freshman,Engineering
Sophie Anderson,18,1.18,35,Senior,Culinary
Emma Brown,19,2.23,30,Sophmore,Construction
Joe Johnson,15,1.93,54,Senior,Computer Science
Ian Anderson,15,1.07,28,Super Senior,Culinary
Sarah Garcia,14,4.05,57,Freshman,Construction
Isabelle Anderson,19,1.33,58,Freshman,Computer Science
Daniel Garcia,17,1.8,22,Senior,Marketing
Mac Miller,18,3.79,31,Senior,Early Childhood Education
Alex Davis,19,3.15,27,Freshman,Business
Sophie Johnson,19,2.85,37,Sophmore,Computer Science
Joe White,14,2.48,21,Sophmore,Early Childhood Education
Rachel Williams,16,3.89,46,Sophmore,Fine Arts
Sarah King,14,3.14,16,Super Senior,Fine Arts
Sarah Scott,16,2.72,12,Senior,Marketing
Daniel Smith,16,1.64,36,Junior,Early Childhood Education
Lily Davis,15,3.22,8,Senior,Bio Med
Daniel Johnson,16,1.18,0,Freshman,Computer Science
Tom German,15,4.18,50,Junior,Early Childhood Education
Tom King,18,2.19,6,Senior,Engineering
Sarah Anderson,18,1.13,57,Sophmore,Business
Sarah Garcia,15,2.25,26,Super Senior,Bio Med
Emma Scott,18,2.26,7,Junior,Computer Science
Hayden Brown,17,1.15,26,Sophmore,Bio Med
Sarah Jones,14,3.75,16,Freshman,Marketing
Ian Williams,19,2.28,26,Senior,Early Childhood Education
Bob Davis,15,1.42,22,Junior,Engineering
Mac Fraker,19,3.15,18,Sophmore,Culinary
Lily Brown,16,4.46,52,Super Senior,Engineering
Marie Smith,17,2.71,52,Super Senior,Bio Med
Josh Brown,19,0.75,22,Super Senior,Bio Med
Tom Miller,16,1.67,14,Super Senior,Early College
Lily German,15,3.68,29,Senior,Marketing
Lily Foster,18,4.11,35,Freshman,Construction
Sarah Johnson,18,2.49,48,Sophmore,Fine Arts
Ben Williams,14,3.41,36,Senior,Early Childhood Education
Ian Brown,14,3.27,17,Super Senior,Engineering
Rachel Anderson,15,3.12,44,Freshman,Business
Alex Garcia,17,0.92,8,Freshman,Business
Tom Scott,18,1.93,0,Junior,Engineering
Sophie Anderson,14,1.59,1,Junior,Construction
Mac Fraker,16,0.36,24,Senior,Marketing
